event_id,country_code,country_name,event_name,event_anchor_date,event_date_precision,window_days,nearby_event_count,contamination_level,nearby_event_ids,nearby_event_names,nearby_event_distance_days,is_contaminated_window
BRA_2018_10_28,BRA,Brazil,Eleicao Bolsonaro,2018-10-28,day,90,1,moderada,BRA_2018_09_06,Facada em Bolsonaro,-52,True
BRA_2018_10_28,BRA,Brazil,Eleicao Bolsonaro,2018-10-28,day,180,3,alta,BRA_2018_09_06; BRA_2018_05_27; BRA_2018_05_21,Facada em Bolsonaro; Subvencao ao diesel apos greve; Inicio da greve dos caminhoneiros,-52; -154; -160,True
BRA_2019_11_08,BRA,Brazil,Soltura de Lula,2019-11-08,day,30,1,moderada,BRA_2019_11_12,Reforma da Previdencia,4,True
BRA_2019_11_08,BRA,Brazil,Soltura de Lula,2019-11-08,day,90,1,moderada,BRA_2019_11_12,Reforma da Previdencia,4,True
BRA_2019_11_08,BRA,Brazil,Soltura de Lula,2019-11-08,day,180,3,alta,BRA_2019_11_12; BRA_2020_03_11; BRA_2020_04_02,Reforma da Previdencia; Pandemia Covid; Auxilio emergencial,4; 124; 146,True
BRA_2019_11_12,BRA,Brazil,Reforma da Previdencia,2019-11-12,day,30,1,moderada,BRA_2019_11_08,Soltura de Lula,-4,True
BRA_2019_11_12,BRA,Brazil,Reforma da Previdencia,2019-11-12,day,90,1,moderada,BRA_2019_11_08,Soltura de Lula,-4,True
BRA_2019_11_12,BRA,Brazil,Reforma da Previdencia,2019-11-12,day,180,3,alta,BRA_2019_11_08; BRA_2020_03_11; BRA_2020_04_02,Soltura de Lula; Pandemia Covid; Auxilio emergencial,-4; 120; 142,True
BRA_2020_03_11,BRA,Brazil,Pandemia Covid,2020-03-11,day,30,1,moderada,BRA_2020_04_02,Auxilio emergencial,22,True
BRA_2020_03_11,BRA,Brazil,Pandemia Covid,2020-03-11,day,90,1,moderada,BRA_2020_04_02,Auxilio emergencial,22,True
BRA_2020_03_11,BRA,Brazil,Pandemia Covid,2020-03-11,day,180,3,alta,BRA_2020_04_02; BRA_2019_11_12; BRA_2019_11_08,Auxilio emergencial; Reforma da Previdencia; Soltura de Lula,22; -120; -124,True
BRA_2020_04_02,BRA,Brazil,Auxilio emergencial,2020-04-02,day,30,1,moderada,BRA_2020_03_11,Pandemia Covid,-22,True
BRA_2020_04_02,BRA,Brazil,Auxilio emergencial,2020-04-02,day,90,1,moderada,BRA_2020_03_11,Pandemia Covid,-22,True
BRA_2020_04_02,BRA,Brazil,Auxilio emergencial,2020-04-02,day,180,3,alta,BRA_2020_03_11; BRA_2019_11_12; BRA_2019_11_08,Pandemia Covid; Reforma da Previdencia; Soltura de Lula,-22; -142; -146,True
BRA_2021_02_19,BRA,Brazil,Troca no comando da Petrobras,2021-02-19,day,30,1,moderada,BRA_2021_03_17,Inicio do ciclo de alta da Selic,26,True
BRA_2021_02_19,BRA,Brazil,Troca no comando da Petrobras,2021-02-19,day,90,2,moderada,BRA_2021_03_17; BRA_2021_04_27,Inicio do ciclo de alta da Selic; CPI da Covid,26; 67,True
BRA_2021_02_19,BRA,Brazil,Troca no comando da Petrobras,2021-02-19,day,180,2,moderada,BRA_2021_03_17; BRA_2021_04_27,Inicio do ciclo de alta da Selic; CPI da Covid,26; 67,True
BRA_2021_03_17,BRA,Brazil,Inicio do ciclo de alta da Selic,2021-03-17,day,30,1,moderada,BRA_2021_02_19,Troca no comando da Petrobras,-26,True
BRA_2021_03_17,BRA,Brazil,Inicio do ciclo de alta da Selic,2021-03-17,day,90,2,moderada,BRA_2021_02_19; BRA_2021_04_27,Troca no comando da Petrobras; CPI da Covid,-26; 41,True
